"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Country"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","14.5 [11.2-18.4]","22.6 [17.3-28.8]","20.5 [15.6-26.3]","23.5 [16.5-32.4]","13.4 [8.7-19.3]","9.9 [6.8-14.0]","7.3 [4.4-11.4]","9.2 [5.1-14.7]","15.6 [8.5-24.6]","12.9 [7.3-20.4]","12.5 [6.8-20.8]","17.8 [9.3-31.3]","21.7 [11.3-37.6]","20.5 [11.0-35.2]","27.1 [15.8-43.8]","37.6 [25.2-56.5]","68.4 [44.9-104.6]","79.9 [52.4-120.4]","79.3 [51.2-121.0]","82.4 [52.8-127.6]"
"Algeria","0","0","0","0","0","0","0","0.025","0","0","0","0","0.013","0","0","0","0","0.01","0","0.019"
"Angola","235.2 [165.6-323.3]","227.4 [163.4-308.1]","216.3 [159.0-285.8]","205.5 [157.0-266.7]","190.0 [144.5-243.8]","179.2 [133.7-236.1]","173.0 [128.3-227.1]","165.5 [123.2-217.5]","166.4 [123.8-217.1]","175.9 [132.3-232.1]","193.8 [145.9-254.3]","227.9 [171.8-297.6]","272.4 [208.3-351.8]","302.0 [233.6-382.5]","317.9 [244.3-403.0]","317.0 [230.1-425.1]","312.8 [228.0-417.7]","309.7 [225.6-417.7]","325.6 [237.0-433.1]","321.8 [234.2-427.7]"
"Argentina","0","0","0","0","0","0","0","0","0","0.068","0.425","0.649","1.95","1.079","1.296","0.598","0.641","0.663","1.154","2.387"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0.01","0.017","0.026","0.046"
"Azerbaijan","0","0","0","0","0","0","0","0.014","0.019","0.241","0.38","0.355","0.538","0.72","1.232","1.986","2.506","2.658","5.612","8.168"
"Bangladesh","1.2 [1.0-1.4]","0.7 [0.6-0.9]","2.0 [1.7-2.3]","1.9 [1.7-2.2]","2.8 [2.4-3.1]","3.3 [2.9-3.7]","1.5 [1.4-1.8]","2.2 [1.9-2.5]","3.9 [3.4-4.5]","4.3 [3.7-5.0]","8.2 [6.9-9.5]","7.8 [6.2-9.7]","4.9 [4.1-5.7]","4.5 [2.7-6.8]","5.8 [3.1-9.4]","5.8 [3.0-9.3]","5.8 [3.0-9.3]","5.8 [2.9-9.3]","5.8 [3.1-9.4]","5.8 [3.1-9.3]"
"Belize","0","0.011","0.027","0.016","0.036","0.078","0.084","0.141","0.316","0.674","1.179","2.551","4.095","4.199","7.91","5.598","5.831","6.264","6.602","8.708"
"Benin","406.7 [311.0-522.5]","414.7 [326.3-518.7]","433.4 [349.7-529.5]","444.5 [361.8-542.7]","420.5 [337.6-516.6]","401.0 [318.7-497.7]","389.8 [309.5-487.8]","375.2 [297.4-469.7]","375.5 [291.7-475.5]","396.4 [306.4-504.0]","426.5 [329.5-544.0]","467.0 [365.0-588.0]","490.5 [385.2-616.9]","498.3 [394.1-621.5]","495.8 [396.4-616.5]","486.3 [386.2-605.0]","464.7 [370.6-577.6]","445.0 [353.5-552.0]","438.5 [347.2-543.2]","420.4 [333.2-519.8]"
