"","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","New HIV infections (per 1000 uninfected population)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Incidence of tuberculosis (per 100 000 population per year)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%)","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs","Reported number of people requiring interventions against NTDs"
""," 2019"," 2019"," 2019"," 2018"," 2018"," 2018"," 2017"," 2017"," 2017"," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2014"," 2014"," 2014"," 2013"," 2013"," 2013"," 2012"," 2012"," 2012"," 2011"," 2011"," 2011"," 2010"," 2010"," 2010"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2015"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"Afghanistan","0.04 [0.01–0.15]","0.06 [0.02–0.21]","0.03 [&lt;0.01–0.09]","0.04 [0.01–0.14]","0.05 [0.02–0.19]","0.02 [&lt;0.01–0.09]","0.04 [0.01–0.14]","0.05 [0.02–0.19]","0.02 [&lt;0.01–0.08]","0.04 [0.01–0.13]","0.05 [0.02–0.17]","0.02 [&lt;0.01–0.08]","0.03 [0.01–0.11]","0.05 [0.02–0.16]","0.02 [&lt;0.01–0.07]","0.03 [0.01–0.1]","0.04 [0.02–0.14]","0.02 [&lt;0.01–0.06]","0.03 [0.01–0.09]","0.04 [0.02–0.12]","0.02 [&lt;0.01–0.05]","0.03 [0.01–0.08]","0.04 [0.02–0.11]","0.02 [&lt;0.01–0.05]","0.03 [0.01–0.07]","0.04 [0.01–0.1]","0.02 [&lt;0.01–0.05]","0.03 [0.01–0.06]","0.03 [0.01–0.09]","0.02 [&lt;0.01–0.04]","189 [122-270]","189 [122-270]","189 [122-270]","189 [122-270]","189 [122-270]","189 [122-270]","189 [122-270]","189 [122-270]","189 [123-270]","189 [123-270]","14.5 [11.2-18.4]","22.6 [17.3-28.8]","20.5 [15.6-26.3]","23.5 [16.5-32.4]","13.4 [8.7-19.3]","9.9 [6.8-14.0]","7.3 [4.4-11.4]","9.2 [5.1-14.7]","15.6 [8.5-24.6]","12.9 [7.3-20.4]","0.50 [0.29-0.78]","16222053","14834701","14786722","13275429","13765392","13384908","13291651","14045789","12600642","12246738"
"Albania","0.03 [&lt;0.01–0.1]","0.05 [&lt;0.01–0.18]","0.01 [&lt;0.01–0.04]","0.03 [&lt;0.01–0.1]","0.05 [&lt;0.01–0.16]","0.01 [&lt;0.01–0.04]","0.03 [&lt;0.01–0.09]","0.05 [0.01–0.15]","0.01 [&lt;0.01–0.03]","0.03 [0.01–0.08]","0.05 [0.02–0.13]","0.01 [&lt;0.01–0.03]","0.04 [0.01–0.08]","0.06 [0.02–0.12]","0.02 [&lt;0.01–0.03]","0.04 [0.02–0.08]","0.06 [0.03–0.12]","0.02 [&lt;0.01–0.03]","0.04 [0.02–0.07]","0.06 [0.03–0.12]","0.02 [&lt;0.01–0.03]","0.04 [0.02–0.07]","0.06 [0.03–0.11]","0.02 [&lt;0.01–0.03]","0.04 [0.02–0.07]","0.06 [0.03–0.11]","0.02 [&lt;0.01–0.03]","0.04 [0.02–0.06]","0.06 [0.03–0.1]","0.02 [0.01–0.03]","16 [14-19]","18 [15-20]","20 [17-23]","17 [14-19]","17 [14-19]","16 [14-19]","19 [16-22]","16 [14-19]","17 [14-19]","17 [14-19]","","","","","","","","","","","1.29 [0.83-1.91]","0","47","22","21","16","33","55","53","53","61"
"Algeria","0.05 [0.01–0.1]","0.05 [0.01–0.1]","0.05 [&lt;0.01–0.09]","0.05 [0.01–0.09]","0.05 [0.01–0.1]","0.04 [&lt;0.01–0.08]","0.05 [0.01–0.08]","0.05 [0.01–0.09]","0.04 [0.01–0.07]","0.05 [0.02–0.08]","0.05 [0.02–0.08]","0.04 [0.01–0.07]","0.05 [0.02–0.07]","0.05 [0.02–0.08]","0.04 [0.02–0.07]","0.04 [0.02–0.07]","0.05 [0.02–0.07]","0.04 [0.02–0.06]","0.04 [0.02–0.06]","0.04 [0.02–0.07]","0.04 [0.02–0.06]","0.04 [0.02–0.06]","0.04 [0.02–0.06]","0.04 [0.02–0.05]","0.04 [0.02–0.05]","0.04 [0.02–0.06]","0.03 [0.02–0.05]","0.03 [0.02–0.05]","0.04 [0.02–0.05]","0.03 [0.02–0.04]","61 [46-77]","69 [53-88]","70 [53-88]","70 [54-89]","75 [57-94]","72 [55-91]","68 [52-86]","73 [56-93]","73 [56-92]","78 [59-98]","0","0","0","0","0","0","0","0.025","0","0","0.22 [0.12-0.34]","10339","10950","13158","10752","7561","5460","22713","7471","11831","10260"
"Andorra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.50 [6.40-8.60]","3 [2.60-3.50]","1.50 [1.30-1.70]","6 [5.10-6.90]","5.90 [5-6.80]","8.70 [7.50-10]","7.10 [6.10-8.20]","13 [11-15]","4.10 [3.50-4.80]","9.50 [8.20-11]","","","","","","","","","","","0.08 [0.00-1.65]","0","0","0","0","0","0","0","0","0","0"
"Angola","0.84 [0.59–1.12]","0.57 [0.4–0.77]","1.11 [0.76–1.48]","0.9 [0.65–1.17]","0.62 [0.44–0.82]","1.17 [0.86–1.52]","0.94 [0.71–1.21]","0.66 [0.49–0.85]","1.21 [0.92–1.59]","0.94 [0.71–1.19]","0.66 [0.49–0.85]","1.22 [0.91–1.57]","0.95 [0.73–1.19]","0.66 [0.51–0.85]","1.24 [0.95–1.56]","0.99 [0.77–1.22]","0.69 [0.53–0.88]","1.29 [1–1.62]","1.06 [0.84–1.29]","0.75 [0.58–0.94]","1.38 [1.09–1.66]","1.12 [0.92–1.33]","0.79 [0.66–0.97]","1.44 [1.18–1.72]","1.15 [0.95–1.36]","0.81 [0.66–0.99]","1.47 [1.23–1.75]","1.16 [0.95–1.37]","0.82 [0.66–1]","1.5 [1.25–1.77]","351 [227-501]","355 [230-507]","359 [232-512]","362 [235-518]","366 [237-523]","370 [240-529]","376 [243-537]","380 [246-543]","383 [248-546]","384 [249-549]","235.2 [165.6-323.3]","227.4 [163.4-308.1]","216.3 [159.0-285.8]","205.5 [157.0-266.7]","190.0 [144.5-243.8]","179.2 [133.7-236.1]","173.0 [128.3-227.1]","165.5 [123.2-217.5]","166.4 [123.8-217.1]","175.9 [132.3-232.1]","4.85 [3.29-6.81]","15362008","15220708","14739913","14419092","18534219","17666908","17149903","16421331","16066272","15879207"
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6 [5.10-6.90]","1.20 [1-1.40]","3.70 [3.10-4.20]","4.30 [3.70-5]","3.70 [3.20-4.30]","13 [11-15]","3.80 [3.30-4.40]","7.70 [6.60-8.90]","9.10 [7.80-11]","","","","","","","","","","","0.38 [0.04-4.06]","1223","1201","161","176","158","1358","1360","117","133","134"
"Argentina","0.13 [0.1–0.19]","0.19 [0.14–0.28]","0.08 [0.06–0.11]","0.13 [0.09–0.19]","0.19 [0.13–0.27]","0.07 [0.06–0.1]","0.14 [0.1–0.19]","0.2 [0.14–0.28]","0.08 [0.06–0.11]","0.14 [0.1–0.19]","0.2 [0.15–0.28]","0.08 [0.06–0.11]","0.14 [0.11–0.2]","0.21 [0.15–0.3]","0.08 [0.06–0.11]","0.14 [0.11–0.19]","0.2 [0.16–0.28]","0.08 [0.06–0.11]","0.15 [0.11–0.19]","0.21 [0.16–0.29]","0.08 [0.07–0.11]","0.15 [0.12–0.19]","0.21 [0.16–0.29]","0.09 [0.07–0.12]","0.15 [0.12–0.19]","0.21 [0.16–0.28]","0.09 [0.07–0.11]","0.14 [0.12–0.19]","0.21 [0.16–0.27]","0.08 [0.07–0.11]","29 [25-34]","27 [23-31]","27 [23-31]","27 [23-32]","26 [22-30]","25 [21-29]","24 [21-28]","24 [21-28]","27 [23-31]","21 [18-24]","0","0","0","0","0","0","0","0","0","0.068","0.01 [0.01-0.01]","160777","162233","1593","80002","5406","3733","9699","938732","952894","953102"
"Armenia","0.05 [0.03–0.09]","0.08 [0.05–0.13]","0.03 [0.02–0.06]","0.06 [0.04–0.09]","0.08 [0.05–0.13]","0.03 [0.02–0.06]","0.06 [0.04–0.09]","0.08 [0.06–0.13]","0.04 [0.02–0.06]","0.06 [0.04–0.09]","0.09 [0.06–0.13]","0.04 [0.03–0.05]","0.06 [0.05–0.09]","0.09 [0.06–0.12]","0.04 [0.03–0.05]","0.06 [0.05–0.08]","0.09 [0.07–0.12]","0.04 [0.03–0.06]","0.06 [0.05–0.08]","0.09 [0.07–0.12]","0.04 [0.03–0.05]","0.07 [0.05–0.09]","0.1 [0.08–0.12]","0.04 [0.03–0.05]","0.07 [0.06–0.09]","0.1 [0.08–0.13]","0.05 [0.04–0.06]","0.08 [0.07–0.09]","0.11 [0.09–0.14]","0.05 [0.04–0.06]","26 [20-33]","31 [24-39]","36 [27-45]","44 [33-55]","50 [38-63]","57 [44-72]","60 [46-76]","53 [40-67]","55 [42-69]","61 [47-77]","0","0","0","0","0","0","0","0","0","0","0.25 [0.04-2.05]","17","39149","39149","39149","39044","38894","38697","42437","42243","41986"
