Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,0.959755897521973,0.77653694152832,6.26739358901977,11.7519664764404,17.2363185882568,23,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,98.9651565551758,98.9440231323242,98.9105377197266,98.8707733154297,98.8307876586914,98.7966461181641,98.7744140625,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,22.843355178833,20,24.939094543457,25.9745082855225,27.0097007751465,28.0507354736328,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,90.0720825195313,90.4764556884765,90.8684844970703,91.2542343139648,91.639762878418,92.2,92.4344024658203,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742
Access to electricity (% of population),EG.ELC.ACCS.ZS,Arab World,ARB,78.7623297831137,80.1492565068256,80.3599784304366,81.3547876429119,82.6624023433797,83.6875762079726,85.8002961272357,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,95.0992050170898,95.5110634674458,95.7975082397461,96.1342086791992,96.4706802368164,96.8129959106445,97.1672210693359,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,98.9,100,98,99.1483154296875,99.1796951293945,99.8,99.2657318115234,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,91.6603980031457,91.6380920410156,91.8337173461914,92.0230484008789,92.2121658325195,92.4071197509765,92.6139831542969,92.8388214111328,93.086166381836,93.3545455932617,93.3562921509542,93.9423751831055,94.2558135986328,94.5782623291016,94.9067230224609,95.2381820678711,95.5701446533203
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,98.9082224496759,98.5917816162109,100,98.9018249511719,99.0534973144531,99.2109756469727,99.5,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,95.6140518188477,96.065547,96.38525390625,96.7583999633789,97.1313247680664,97.5100936889648,97.900764465332,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,32,34.9988059997559,37.3091239929199,39.6131591796875,40.6,44.23,50.5251024590164,46.5,51.2497749328613,53.6328544616699,55.26,59.6,60.8782157897949,61.5,62.4,68.2046813964844,75.92
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,89.8436584472656,89.9410400390625,90.0260772705078,90.1048278808594,90.1833572387695,90.2677307128906,90.9885308574549,90.4782562255859,90.6150207519531,90.7728118896484,89.9172243747798,91.6817359855335,91.3423233032227,91.5541839599609,91.7720565795898,91.8,92.2143173217773
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,20.6677970886231,21.9,23.1457328796387,24.3722438812256,25.5985355377197,26.8306674957275,27.9,29.3367118835449,30.6212387084961,31.9267921447754,34.2,36.9,38.4,37.2992057800293,34.1,40.0334777832031,41.4026145935059
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,34.9193420410156,39.3070755004883,43.6824569702148,41.1,52.4204368591308,59.8081116441343,61.1817893981934,71.8,70.0135040283203,74.4616470336914,73.2829108748978,83.4089965820313,91.5,92.4044189453125,96.9126434326172,98.4235229492188,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,69.963045,69.258539,63.996855,72.3,76.0509185791016,68.288209,76.211281,80.156567,84.674991,86.765597,84.2948150634766,88.335943,90.387375,89.505686,90.038729,91.522822,93.0391311645508
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,98.7678527832031,99.4,98.5,99.0473556518555,99.1321105957031,99.2226791381836,99.3872769868445,99.7,99.5800399780273,99.7254028320313,99.8557586669922,99.7057805469021,99.9866180419922,99.9984893798828,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,27.3054733276367,24.8,31.3644218444824,33.3814392089844,35.3982353210449,37.4208755493164,39.4554214477539,41.5079345703125,43.1,45.679027557373,47.7931137084961,53.24,52.0633392333984,54.2134704589844,56.3696098327637,58.528751373291,60.6883964538574
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,94.4665679931641,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.883056640625,99.328691,99.519494,99.575151,99.650247,99.710902,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,9.22201061248779,9.79264450073242,10.3509321212769,11.4,11.454719543457,12.0123443603516,12.5818758010864,13.1693744659424,13.7793941497803,14.4104413986206,13.1,15.7236022949219,16.3997077941895,17.0848274230957,19.2,18.4700813293457,19.1647129058838
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,3.37765550613403,3.59004735946655,3.79009222984314,3.9838535785675,4.1773943901062,3.20731707317073,4.58806562423706,4.81732225418091,4.8,5.3419041633606,5.3,5.93858003616333,6.5,6.58331918716431,7,7.25208950042725,7.58847713470459
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,55.9000663757324,58.1437530517578,58.6,62.6001472473145,64.8249816894531,67,69.2982406616211,71.5587921142578,73.8418579101563,76.1459579467773,81.1,80.8052215576172,83.1543807983398,85.5125503540039,87.8767242431641,90.2439041137695,92.6115875244141
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,16.6,17.7442817687988,19.8128566741943,19.3,23.9372177124023,20.5,28.0849475860596,30.1827335357666,26.4,34.4443740844727,31.1,38.7781105041504,40.9645042419434,43.1599082946777,56.1,47.5657386779785,49.7706565856934
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,41,46.2,44.0505065917969,45.1175422668457,47.1,47.257022857666,49,48.2,50.5691757202148,51.7152557373047,52.8793601989746,53.7,55.249626159668,56.4497795104981,56.8,58.8651008605957,60.0747680664063
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
