Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,66.3552,65.2066,64.058,63.834,63.61,63.386,63.162,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,82.21,81.526,80.842,78.904,76.966,75.028,73.09,71.152,69.7322,68.3124,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,9.911,9.33,8.749,8.4572,8.1654,7.8736,7.5818,7.29,7.3074,7.3248,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,France,FRA,7.6438,7.7854,7.927,7.7912,7.6554,7.5196,7.3838,7.248,7.128,7.008,6.888,6.768,6.648,6.2638,5.8796,5.4954,5.1112
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Germany,DEU,12.6676,12.5188,12.37,11.8502,11.3304,10.8106,10.2908,9.771,9.4294,9.0878,8.7462,8.4046,8.063,8.0694,8.0758,8.0822,8.0886
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,India,IND,66.837,63.498,60.159,57.039,53.919,50.799,47.679,44.559,41.2576,37.9562,34.6548,31.3534,28.052,25.077,22.102,19.127,16.152
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Indonesia,IDN,50.3512,51.1856,52.02,51.917,51.814,51.711,51.608,51.505,51.299,51.093,50.887,50.681,50.475,49.8548,49.2346,48.6144,47.9942
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Italy,ITA,6.8174,6.9472,7.077,7.0614,7.0458,7.0302,7.0146,6.999,6.778,6.557,6.336,6.115,5.894,5.7632,5.6324,5.5016,5.3708
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Japan,JPN,5.1366,5.3978,5.659,5.55,5.441,5.332,5.223,5.114,4.987,4.86,4.733,4.606,4.479,4.3392,4.1994,4.0596,3.9198
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Rep.",KOR,2.4844,2.3372,2.19,2.1518,2.1136,2.0754,2.0372,1.999,1.9524,1.9058,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mexico,MEX,78.876,77.508,76.14,74.971,73.802,72.633,71.464,70.295,69.43,68.565,67.7,66.835,65.97,64.849,63.728,62.607,61.486
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Netherlands,NLD,6.7504,6.9432,7.136,6.7676,6.3992,6.0308,5.6624,5.294,5.1248,4.9556,4.7864,4.6172,4.448,4.316,4.184,4.052,3.92
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Russian Federation,RUS,30.5882,29.1006,27.613,28.019,28.425,28.831,29.237,29.643,28.9984,28.3538,27.7092,27.0646,26.42,25.2758,24.1316,22.9874,21.8432
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Saudi Arabia,SAU,27.3198,24.2884,21.257,19.4694,17.6818,15.8942,14.1066,12.319,11.9372,11.5554,11.1736,10.7918,10.41,9.7928,9.1756,8.5584,7.9412
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Spain,ESP,9.3164,9.7432,10.17,10.684,11.198,11.712,12.226,12.74,11.9864,11.2328,10.4792,9.7256,8.972,8.7226,8.4732,8.2238,7.9744
